name,threads,size,branch-misses,branch-miss-rate,cache-references,cpu-clock,L1-icache-load-misses,cache-misses,cache-miss-rate,instructions,ipc,cycles,L1-dcache-loads,LLC-load-misses,branch-instructions,page-faults,real-time,single-thread-time,speedup
lu_contig,4,512,3043884.4,1.082,1217457.4,143.006,91220.4,51981.4,4.2768,433845701.8,1.278,339498370.0,152126905.4,40120.4,55562940.6,740.0,0.3016,0.3066,1.01657824933687
lu_contig,8,512,3120617.2,1.154,1347612.0,143.85,193313.4,54203.2,4.0282,435815971.0,1.278,341465702.2,152892895.2,32243.8,55438668.6,740.0,0.2966,0.3066,1.033715441672286
lu_contig,16,512,3112385.2,1.154,1335088.4,144.13,198111.2,60179.8,4.5456,436548711.6,1.2760000000000002,342116247.2,153309957.6,32526.0,55389777.4,740.0,0.3008,0.3066,1.019281914893617
lu_contig,32,512,3081744.6,1.082,1291533.8,143.408,147321.6,53350.4,4.144,435033252.2,1.278,340435756.2,152584212.6,33473.2,55527942.2,740.0,0.2964,0.3066,1.034412955465587
lu_contig,1,2048,3151785.2,1.154,1492242.6,144.18,248867.6,58456.0,3.9463999999999997,437167789.0,1.28,342286734.2,153503260.4,28647.8,55306958.4,740.0,0.309,0.309,1.0
lu_contig,2,2048,3090746.8,1.154,1336553.0,144.062,156806.4,59528.0,4.4845999999999995,436679215.4,1.278,341908039.6,153220944.4,31766.0,55380279.2,740.0,0.2972,0.309,1.0397039030955584
lu_contig,4,2048,3070613.0,1.1460000000000001,1276531.4,144.672,131457.2,61620.0,4.854000000000001,436368457.0,1.2719999999999998,343242747.2,153458390.8,33548.0,55409766.6,740.0,0.3096,0.309,0.998062015503876
lu_contig,8,2048,3095731.0,1.152,1354652.4,144.864,185323.0,65563.6,4.8746,436927106.2,1.2719999999999998,343678402.2,153328297.0,30966.6,55269309.6,740.0,0.298,0.309,1.0369127516778525
lu_contig,16,2048,3117838.6,1.152,1344476.8,144.454,194565.0,61676.2,4.6624,436459462.0,1.2739999999999998,342733204.8,153317129.4,33768.4,55401031.2,740.0,0.2996,0.309,1.0313751668891857
lu_contig,32,2048,3083200.4,1.154,1316579.2,144.092,152192.6,63272.4,4.8874,435677401.6,1.2739999999999998,341995689.2,153025841.4,39104.6,55530480.6,740.0,0.297,0.309,1.0404040404040404
lu_contig,1,1024,3039214.2,1.08,1235836.0,143.772,88682.2,64005.0,5.2026,434821283.0,1.2760000000000002,341215711.8,152582366.4,38420.6,55489545.6,739.8,0.2919999999999999,0.2919999999999999,1.0
lu_contig,2,1024,3076761.4,1.082,1296916.0,144.56599999999997,143090.6,66176.8,5.1494,436530895.0,1.27,343074206.0,153351301.6,36361.0,55393614.4,739.8,0.29799999999999993,0.2919999999999999,0.9798657718120806
lu_contig,4,1024,3122181.0,1.082,1385013.4,144.982,208440.8,57347.2,4.238200000000001,436592474.8,1.27,344042504.2,153575417.8,34803.0,55532534.6,740.0,0.2996,0.2919999999999999,0.9746328437917221
lu_contig,8,1024,3112288.8,1.15,1346751.4,144.548,192583.0,62273.6,4.6655999999999995,437123273.0,1.2739999999999998,343090172.4,153607268.4,30508.6,55385902.2,740.0,0.2994,0.2919999999999999,0.9752839011356043
lu_contig,16,1024,3079047.6,1.158,1331693.0,144.62999999999997,145213.4,63284.0,4.8414,436039137.0,1.2719999999999998,343196796.8,152966911.6,35744.8,55427131.6,740.0,0.3064,0.2919999999999999,0.9530026109660572
lu_contig,32,1024,3073544.0,1.082,1301325.6,144.256,142070.2,62684.2,4.876399999999999,436289763.8,1.2739999999999998,342421309.8,153108575.2,32506.6,55420219.2,740.0,0.2976,0.2919999999999999,0.9811827956989245
fft,1,20,3213845.8,0.792,13965710.2,364.032,2612626.2,1948680.4,14.192599999999999,975500885.0,1.1300000000000001,862409846.0,334641890.8,1986902.8,106843908.0,5704.6,0.5328,0.5328,1.0
