IPC,branch-instructions,branch-misses,branch-miss-rate,cache-misses,cache-miss-rate,cache-references,cycles,instructions,cpu-clock,page-faults,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,run_time,thread,size,workload,speedup
0.964,1359275707,72769622.4,5.388,29404045.8,8.0554,365011138,16069026037,15494591588,6967.312,151241.4,7070595412,111605468.4,28447657.2,0.9166,16,simlarge,x264,4.779620336
0.952,1296864932,73666156.6,5.682,30341960.6,8.3456,363558477,16154898543,15375945107,7042.738,162634.8,7000771556,112484044.4,29038107,0.817,32,simlarge,x264,5.362301102
0.676,668944486.4,28945665.2,4.332,12467375.8,13.629,91515499,5254516328,3545095103,2253.774,141704.6,1672776320,30574031.8,12121994.4,0.5166,1,simsmall,ferret,1
0.68,757245219.4,29117517.4,3.908,12380905.2,13.5012,91465854.4,5541767813,3769434304,2389.676,141950.2,1792826845,31125553.2,11853590,0.2894,2,simsmall,ferret,1.785072564
0.662,721196534.8,29240070,4.094,13663861.8,14.8026,92307984.6,5503170790,3638539394,2380.33,142288.2,1726471274,31020011.2,12967611.2,0.2032,4,simsmall,ferret,2.542322835
0.664,699868941,29509488,4.242,14035581.2,15.2512,92050781.6,5532196602,3675579959,2384.596,143309.4,1727732663,31436064.4,13495544,0.1934,8,simsmall,ferret,2.67114788
0.668,704950529,29808479.2,4.26,14033459.8,14.9086,94113662.4,5520742826,3687477345,2391.1,144286.8,1738557061,30906438.2,13356620,0.1954,16,simsmall,ferret,2.643807574
0.66,709985269.2,29449612,4.194,13827059.2,14.6226,94588958.8,5675338100,3726126941,2447.862,144183.2,1760507440,32176002,13472220.6,0.1992,32,simsmall,ferret,2.593373494
0.742,1284396524,60004712.2,4.704,18098145.2,12.248,147763558.8,10223167499,7583011413,4361.894,152264.4,3420238295,33710359,17613962.8,1.4798,1,simmedium,ferret,1
0.744,1258831635,59675188.4,4.754,17559902.4,12.0422,145856526.2,10195605360,7580184375,4356.252,151676,3391471301,34173774.6,17451923.2,0.7972,2,simmedium,ferret,1.856246864
0.736,1284265564,60186090.6,4.734,18734596.8,12.6042,148653743.6,10538581685,7742319940,4500.396,159006.6,3457299970,34310275.8,18059848.8,0.46,4,simmedium,ferret,3.216956522
0.718,1321273525,61130301.8,4.656,18824939.4,12.4514,151195116.8,10845749255,7761680940,4665.386,160617.8,3481984233,35037736.2,18353727.8,0.3234,8,simmedium,ferret,4.575757576
0.694,1295547187,61731882,4.77,19324669.4,12.6264,153035897.2,10948820550,7617131517,4732.84,161421.2,3427957160,35242929.2,18336852.8,0.3128,16,simmedium,ferret,4.730818414
0.7,1356426212,60250052,4.458,20346027.2,13.2014,154046044.6,11205254289,7841031163,4844.564,163832,3527343166,35101888.6,19871386.8,0.3226,32,simmedium,ferret,4.587104774
0.76,4154924856,204159701.6,4.92,63547892.4,15.3854,413034130.2,36725096797,27866121692,15560.118,159606.4,11978388942,42287358.4,62581195,6.1386,1,simlarge,ferret,1
0.722,4087381962,206102527.2,5.048,63297510.4,15.1052,419067494.4,38430651616,27701037228,16304.656,154302.4,11885817525,45637325.6,62388651.8,3.3492,2,simlarge,ferret,1.832855607
0.702,4059343879,206971405.2,5.098,64268344,15.233,421899857.4,39292169459,27653290470,16673.978,155126.2,11824760661,45642367,63038640,1.8954,4,simlarge,ferret,3.238683128
0.634,4072337293,208182136.4,5.118,68951734.8,15.6862,439063314.2,43678667575,27640786551,18679.08,153705.8,11745070962,49867051.8,67823732.6,1.2714,8,simlarge,ferret,4.828220859
0.578,4097210481,209223037,5.11,66447894.6,15.313,433744338.8,48015944018,27730899442,20508.86,154921.2,11726173788,51766742.6,65361324.6,1.1614,16,simlarge,ferret,5.285517479
0.6,4094425334,210271941,5.14,65228844.4,14.9384,436622223.8,46497128987,27809833657,19865.142,160651,11746158144,52525985.4,64110909.2,1.157,32,simlarge,ferret,5.305617978
0.686,655338593.4,25193930.2,3.866,14044024.8,18.3234,76698640.6,5064528533,3483624271,2176.29,138478.6,1642167234,31103771.6,13660400.2,0.5806,1,simsmall,fluidanimate,1
0.678,682396174.6,26315801.4,3.892,14737506.2,18.769,78534650.6,5248122652,3555291376,2261.378,145379.6,1683625701,31276413.4,14587337.4,0.39,2,simsmall,fluidanimate,1.488717949
0.68,701186911.8,26697260.2,3.822,15096779.4,18.7062,80690033.8,5321014002,3607086388,2286.872,146009,1708730174,31746918.2,14342201.6,0.2776,4,simsmall,fluidanimate,2.091498559
0.654,714006893.6,28917055.2,4.072,15613815.8,18.4162,84786812.8,5658865328,3688877251,2422.568,151471.4,1767801214,32891132.2,14873171.6,0.2596,8,simsmall,fluidanimate,2.23651772
0.652,772695485.2,29571675.6,3.846,16495325.8,18.789,87777490.2,6142151571,4003470483,2632.656,161117.4,1918392439,34455141.6,15387293.4,0.2772,16,simsmall,fluidanimate,2.094516595
0.586,944390968,32115135.4,3.418,17888852.6,18.5816,96243762.2,8132907345,4752860514,3509.004,171348.8,2279327620,37840953.2,16903548.6,0.3694,32,simsmall,fluidanimate,1.571737953
0.768,934334256.6,38548583.8,4.132,16353624.4,16.9826,96252166.2,6934183375,5339410276,2972.344,147134.4,2364030849,32046817,15849186.4,1.365,1,simmedium,fluidanimate,1
0.762,915264368.8,41139912.2,4.496,16321476.2,16.9104,96560985.4,6947156496,5294951985,2968.742,142616.4,2366671262,32622761.6,15755043.2,0.8432,2,simmedium,fluidanimate,1.618833017
0.746,1010841869,40700040.8,4.052,15939064.2,16.2632,98018034,7401242854,5518559510,3175.18,152066,2493032120,33345402.6,15811758,0.579,4,simmedium,fluidanimate,2.357512953
0.724,986519386.6,43459732.6,4.41,18292005.4,17.677,103473543.4,7917385162,5730587794,3380.562,164425.6,2602021112,34543785.8,17722700.2,0.5012,8,simmedium,fluidanimate,2.723463687
0.684,1070168915,43955652.8,4.106,18780878.6,17.6678,106278127.6,8908390799,6088759705,3817.1,170745,2767681099,35329710,18040717.8,0.4582,16,simmedium,fluidanimate,2.97904845
0.612,1315051350,47338793.4,3.61,20511279.8,17.979,114156610,11474967968,7026925863,4998.64,176357.6,3253517938,38179063,20202384.6,0.505,32,simmedium,fluidanimate,2.702970297
0.916,1869456360,84861063,4.558,25539057.8,21.3698,119842259.2,13187254209,12073831219,5603.334,186390,5003841347,34380628.4,24501279.6,4.0114,1,simlarge,fluidanimate,1
0.85,1897859647,93031822.2,4.908,28162956,21.8892,128928835,14381068883,12208788524,6098.728,183245.8,5176715385,38539089.6,27228355.4,2.617,2,simlarge,fluidanimate,1.532823844
0.852,1936588897,92759590.4,4.79,25496167.8,19.8746,128513217,14745197940,12557012537,6252.472,191416.4,5302327236,39668675.6,25437220.6,1.7368,4,simlarge,fluidanimate,2.309649931
0.8,2080054906,95894204.4,4.614,25935334.2,20.3862,127182796.4,16291480694,13048550932,6919.538,200719.6,5612964440,38599660.4,25661213,1.3536,8,simlarge,fluidanimate,2.963504728
0.722,2287027386,96339618.4,4.236,27312015.2,20.6592,132275148.4,18941500775,13681743422,8084.98,189357.4,5995952932,38028978,26277043.2,1.127,16,simlarge,fluidanimate,3.559361136
0.618,2476999943,103692253.2,4.192,32474982,21.6008,150554344.8,24199775405,14865061331,10445.816,234708.6,6565354951,44092519,31430384.6,1.2626,32,simlarge,fluidanimate,3.177094884
0.694,601926864.2,14585162,2.444,12711691.6,13.8696,91643643.2,4563998303,3173432028,1970.434,135283.4,1499357329,29394384.2,12088823.8,0.3914,1,simsmall,streamcluster,1
